iter	Passed	Remaining
684	1484	249
685	1487	247
686	1489	245
687	1492	242
688	1494	240
689	1496	238
690	1498	236
691	1501	234
692	1503	232
693	1505	229
694	1508	227
695	1510	225
696	1512	223
697	1514	221
698	1516	219
699	1519	217
700	1521	214
701	1524	212
702	1526	210
703	1528	208
704	1530	206
705	1532	204
706	1535	201
707	1537	199
708	1540	197
709	1542	195
710	1545	193
711	1547	191
712	1551	189
713	1554	187
714	1556	185
715	1558	182
716	1561	180
717	1563	178
718	1565	176
719	1567	174
720	1569	172
721	1572	169
722	1574	167
723	1577	165
724	1579	163
725	1582	161
726	1584	159
727	1587	156
728	1589	154
729	1591	152
730	1593	150
731	1595	148
732	1598	146
733	1600	143
734	1603	141
735	1606	139
736	1608	137
737	1610	135
738	1612	133
739	1615	130
740	1617	128
741	1619	126
742	1622	124
743	1624	122
744	1626	120
745	1628	117
746	1630	115
747	1633	113
748	1635	111
749	1637	109
750	1640	107
751	1642	104
752	1644	102
753	1646	100
754	1648	98
755	1650	96
756	1653	93
757	1655	91
758	1657	89
759	1659	87
760	1661	85
761	1664	82
762	1666	80
763	1668	78
764	1670	76
765	1672	74
766	1675	72
767	1677	69
768	1680	67
769	1682	65
770	1685	63
771	1687	61
772	1689	59
773	1691	56
774	1694	54
775	1696	52
776	1698	50
777	1701	48
778	1703	45
779	1705	43
780	1708	41
781	1710	39
782	1712	37
783	1714	34
784	1717	32
785	1719	30
786	1721	28
787	1725	26
788	1727	24
789	1730	21
790	1732	19
791	1735	17
792	1737	15
793	1740	13
794	1743	10
795	1745	8
796	1747	6
797	1749	4
798	1751	2
799	1754	0
